,0,1,2,3,4,5
0,SPARTA CONSULTING INC,ASSOCIATE CONSULTANT,70000.0,HOUSTON TX,11/10/2014,11/10/2014
1,SPARTA CONSULTING INC,COMPUTER SOFTWARE ENGINEER SAP SYSTEMS,120000.0,MONROE LA,10/20/2014,10/20/2014
2,SPARTA CONSULTING INC,CONSULTANT,67000.0,FREMONT CA,11/24/2014,11/24/2014
3,SPARTA CONSULTING INC,CONSULTANT,75046.0,SOUTH SAN FRANCISCO CA,12/03/2014,12/03/2014
4,SPARTA CONSULTING INC,CONSULTANT,78000.0,SOUTH SAN FRANCISCO CA,12/12/2014,12/15/2014
5,SPARTA CONSULTING INC,CONSULTANT,105000.0,SOUTH SAN FRANCISCO CA,12/10/2014,12/10/2014
6,SPARTA CONSULTING INC,PLATINUM CONSULTANT,115000.0,FOLSOM CA,11/18/2014,02/27/2015
7,SPARTA CONSULTING INC,PRACTICE DIRECTOR,175000.0,GLEN ALLEN VA,12/16/2014,01/19/2015
8,SPARTA CONSULTING INC,PRINCIPAL CONSULTANT,95000.0,FOLSOM CA,11/12/2014,11/24/2014
9,SPARTA CONSULTING INC,PRINCIPAL CONSULTANT,112000.0,FOLSOM CA,10/08/2014,11/27/2014
10,"

",,,,,
11,SPARTA CONSULTING INC,PRINCIPAL CONSULTANT,112000.0,MURFREESBORO TN,11/10/2014,11/10/2014
12,SPARTA CONSULTING INC,PRINCIPAL CONSULTANT,115000.0,ASHBURN VA,11/26/2014,11/26/2014
13,SPARTA CONSULTING INC,PRINCIPAL CONSULTANT,116000.0,SAN DIEGO CA,10/20/2014,10/21/2014
14,SPARTA CONSULTING INC,PRINCIPAL CONSULTANT,120000.0,BELLEVUE WA,11/24/2014,11/25/2014
15,SPARTA CONSULTING INC,PRINCIPAL CONSULTANT,130000.0,FOLSOM CA,12/10/2014,02/09/2015
16,SPARTA CONSULTING INC,PRINCIPAL CONSULTANT,132000.0,KING OF PRUSSIA PA,11/18/2014,11/19/2014
17,SPARTA CONSULTING INC,PRINCIPAL CONSULTANT,140000.0,SUNNYVALE CA,11/26/2014,11/26/2014
18,SPARTA CONSULTING INC,PRINCIPAL CONSULTANT,142000.0,CASTRO VALLEY CA,10/14/2014,10/14/2014
19,SPARTA CONSULTING INC,PRINCIPAL CONSULTANT,150000.0,FOLSOM CA,11/12/2014,01/19/2015
20,SPARTA CONSULTING INC,PRINCIPAL CONSULTANT,150000.0,NEENAH WI,11/26/2014,11/26/2014
21,SPARTA CONSULTING INC,SENIOR CONSULTANT,88000.0,HILLSBORO OR,12/12/2014,02/01/2015
22,SPARTA CONSULTING INC,SENIOR CONSULTANT,93500.0,LONG BEACH CA,10/20/2014,10/20/2014
23,SPARTA CONSULTING INC,SENIOR CONSULTANT,95000.0,FOLSOM CA,10/29/2014,02/27/2015
24,SPARTA CONSULTING INC,SENIOR CONSULTANT,95000.0,FOLSOM CA,10/22/2014,12/09/2014
25,SPARTA CONSULTING INC,SENIOR CONSULTANT,100000.0,FOLSOM CA,10/01/2014,10/13/2014
26,SPARTA CONSULTING INC,SENIOR CONSULTANT,105000.0,HARRISBURG PA,11/12/2014,11/12/2014
27,SPARTA CONSULTING INC,SENIOR CONSULTANT,106000.0,PORTLAND OR,10/09/2014,10/09/2014
28,SPARTA CONSULTING INC,SENIOR CONSULTANT,110000.0,SUNNYVALE CA,12/03/2014,12/04/2014
29,SPARTA CONSULTING INC,SENIOR CONSULTANT,110000.0,FOLSOM CA,12/19/2014,01/13/2015
30,SPARTA CONSULTING INC,SENIOR CONSULTANT,120000.0,LAKE FOREST IL,11/06/2014,11/07/2014
31,SPARTA CONSULTING INC,SENIOR CONSULTANT,128000.0,FOLSOM CA,10/29/2014,12/10/2014
32,SPARTA CONSULTING INC,SENIOR CONSULTANT,128200.0,MONROE CT,10/09/2014,10/09/2014
33,SPARTA CONSULTING INC,SENIOR MANAGER,180000.0,IRVING TX,11/24/2014,11/25/2014
0,SPARTA CONSULTING INC,ASSOCIATE CONSULTANT,75000.0,ISHPEMING MI,05/19/2015,06/12/2015
1,SPARTA CONSULTING INC,ASSOCIATE PRACTICE DIRECTOR,140000.0,FOLSOM CA,04/21/2015,06/02/2015
2,SPARTA CONSULTING INC,COMPUTER SOFTWARE ENGINEER SAP SYSTEMS,103000.0,RANCHO CORDOVA CA,02/13/2015,05/05/2015
3,SPARTA CONSULTING INC,COMPUTER SOFTWARE ENGINEER SAP SYSTEMS,120000.0,NEENAH WI,11/30/2015,12/01/2015
4,SPARTA CONSULTING INC,COMPUTER SOFTWARE ENGINEER SAP SYSTEMS,120000.0,FOLSOM CA,03/25/2015,04/13/2015
5,SPARTA CONSULTING INC,COMPUTER SOFTWARE ENGINEER SAP SYSTEMS,120000.0,MONROE LA,04/23/2015,06/22/2015
6,SPARTA CONSULTING INC,COMPUTER SOFTWARE ENGINEER SAP SYSTEMS,120000.0,PORTLAND OR,07/28/2015,07/28/2015
7,SPARTA CONSULTING INC,COMPUTER SOFTWARE ENGINEER SAP SYSTEMS,120000.0,LEHI UT,09/03/2015,09/08/2015
8,SPARTA CONSULTING INC,COMPUTER SOFTWARE ENGINEER SAP SYSTEMS,142000.0,UNION CITY CA,04/07/2015,04/08/2015
9,SPARTA CONSULTING INC,COMPUTER SOFTWARE ENGINEER SAP SYSTEMS,142000.0,ISSAQUAH WA,06/09/2015,06/22/2015
10,"

",,,,,
11,SPARTA CONSULTING INC,CONSULTANT,67000.0,FOLSOM CA,06/17/2015,09/30/2015
12,SPARTA CONSULTING INC,CONSULTANT,70000.0,FOLSOM CA,03/23/2015,09/12/2015
13,SPARTA CONSULTING INC,CONSULTANT,70000.0,FOLSOM CA,03/10/2015,09/05/2015
14,SPARTA CONSULTING INC,CONSULTANT,72000.0,FOLSOM CA,03/10/2015,09/05/2015
15,SPARTA CONSULTING INC,CONSULTANT,73000.0,MONROE LA,09/03/2015,09/29/2015
16,SPARTA CONSULTING INC,CONSULTANT,74000.0,FOLSOM CA,03/10/2015,09/05/2015
17,SPARTA CONSULTING INC,CONSULTANT,75000.0,SAN JOSE CA,11/12/2015,11/23/2015
18,SPARTA CONSULTING INC,CONSULTANT,75000.0,SABANA HOYOS PR,12/03/2015,12/14/2015
19,SPARTA CONSULTING INC,CONSULTANT,75000.0,LOUISVILLE KY,12/15/2015,01/04/2016
20,SPARTA CONSULTING INC,CONSULTANT,75000.0,ISHPEMING MI,06/03/2015,06/04/2015
21,SPARTA CONSULTING INC,CONSULTANT,75000.0,FOLSOM CA,03/10/2015,09/05/2015
22,SPARTA CONSULTING INC,CONSULTANT,75000.0,AUSTIN TX,03/11/2015,09/08/2015
23,SPARTA CONSULTING INC,CONSULTANT,75000.0,AUSTIN TX,03/11/2015,09/08/2015
24,SPARTA CONSULTING INC,CONSULTANT,75000.0,FOLSOM CA,09/03/2015,09/27/2015
25,SPARTA CONSULTING INC,CONSULTANT,75046.0,SOUTH SAN FRANCISCO CA,06/24/2015,06/29/2015
26,SPARTA CONSULTING INC,CONSULTANT,77000.0,FOLSOM CA,03/10/2015,09/05/2015
27,SPARTA CONSULTING INC,CONSULTANT,77000.0,AUSTIN TX,03/11/2015,09/08/2015
28,SPARTA CONSULTING INC,CONSULTANT,77000.0,AUSTIN TX,03/11/2015,09/08/2015
