index,company,total_filings,avg_salary
1,INFOSYS LIMITED,117594.0,$83498
2,TATA CONSULTANCY SERVICES LIMITED,91518.0,$71575
3,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,80977.0,$87624
4,DELOITTE CONSULTING LLP,58320.0,$93334
5,CAPGEMINI AMERICA INC,51256.0,$85797
6,ACCENTURE LLP,47837.0,$88819
7,ERNST & YOUNG US LLP,45185.0,$107622
8,WIPRO LIMITED,43927.0,$74146
9,MICROSOFT CORPORATION,41523.0,$137840
10,IBM INDIA PRIVATE LIMITED,36207.0,$78143
11,GOOGLE LLC,35634.0,$147925
12,HCL AMERICA INC,30985.0,$84933
13,TECH MAHINDRA (AMERICAS)INC,26372.0,$76513
14,IBM CORPORATION,21811.0,$98355
15,FACEBOOK INC,20868.0,$165135
16,AMAZONCOM SERVICES LLC,18729.0,$130566
17,LARSEN & TOUBRO INFOTECH LIMITED,18168.0,$83841
18,APPLE INC,16542.0,$147331
19,GOOGLE INC,15325.0,$130836
20,JPMORGAN CHASE & CO,14443.0,$119858
21,AMAZONCOM SERVICES INC,14330.0,$132134
22,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,13638.0,$75986
23,TECH MAHINDRA (AMERICAS) INC,12315.0,$88235
24,INTEL CORPORATION,12237.0,$101970
25,WAL-MART ASSOCIATES INC,12149.0,$123911
26,UST GLOBAL INC,11915.0,$74598
27,COMPUNNEL SOFTWARE GROUP INC,10771.0,$85817
28,L&T TECHNOLOGY SERVICES LIMITED,10349.0,$72585
29,DELOITTE & TOUCHE LLP,10095.0,$79496
30,SALESFORCECOM INC,9411.0,$130205
31,AMAZON CORPORATE LLC,9194.0,$118837
32,AMAZON WEB SERVICES INC,8764.0,$125257
33,HEXAWARE TECHNOLOGIES INC,8610.0,$80497
34,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,8559.0,$118975
35,MINDTREE LIMITED,7836.0,$84809
36,NTT DATA INC,7828.0,$91491
37,MPHASIS CORPORATION,7758.0,$80976
38,PRICEWATERHOUSECOOPERS LLP,7716.0,$90273
39,SYNTEL INC,7695.0,$82980
40,VIRTUSA CORPORATION,7109.0,$100348
41,CISCO SYSTEMS INC,6810.0,$124541
42,KPMG LLP,6794.0,$90152
43,IGATE TECHNOLOGIES INC,6751.0,$69236
44,SYNTEL CONSULTING INC,6751.0,$69940
45,QUALCOMM TECHNOLOGIES INC,6647.0,$114237
46,LINKEDIN CORPORATION,6580.0,$133682
47,BANK OF AMERICA NA,6404.0,$116559
48,ORACLE AMERICA INC,6376.0,$114063
49,SYNECHRON INC,6312.0,$94301
50,VMWARE INC,6309.0,$144283
51,RANDSTAD TECHNOLOGIES LLC,6243.0,$112182
52,PAYPAL INC,6146.0,$141235
53,CAPITAL ONE SERVICES LLC,5912.0,$93645
54,CUMMINS INC,5816.0,$74477
55,UBER TECHNOLOGIES INC,5747.0,$130963
56,EBAY INC,5647.0,$146378
57,INTERNATIONAL BUSINESS MACHINES CORPORATION,5612.0,$100987
58,V-SOFT CONSULTING GROUP INC,5566.0,$79722
59,CERNER CORPORATION,4838.0,$80484
60,GOLDMAN SACHS & CO LLC,4758.0,$128090
61,TESLA INC,4733.0,$122385
62,FUJITSU AMERICA INC,4537.0,$83361
63,MARLABS INC,4451.0,$77057
64,HTC GLOBAL SERVICES INC,4434.0,$74352
65,CITIBANK NA,4216.0,$126401
66,PERSISTENT SYSTEMS INC,4199.0,$75958
67,UNIVERSITY OF MICHIGAN,3871.0,$68268
68,PEOPLE TECH GROUP INC,3827.0,$86573
69,SYSTEM SOFT TECHNOLOGIES LLC,3798.0,$90475
70,AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,3703.0,$114616
71,ANTHEM INC,3650.0,$94241
72,CGI TECHNOLOGIES AND SOLUTIONS INC,3626.0,$86306
73,ATOS SYNTEL INC,3602.0,$92665
74,CITIUSTECH INC,3587.0,$83978
75,DELOITTE TAX LLP,3568.0,$74080
76,COMCAST CABLE COMMUNICATIONS LLC,3537.0,$98717
77,EMC CORPORATION,3528.0,$106722
78,BLOOMBERG LP,3521.0,$145725
79,INTUIT INC,3468.0,$128310
80,BLACKROCK FINANCIAL MANAGEMENT INC,3405.0,$91501
81,AVCO CONSULTING INC,3402.0,$82378
82,PROKARMA INC,3310.0,$98908
83,ERP ANALYSTS INC,3303.0,$87678
84,MORGAN STANLEY SERVICES GROUP INC,3264.0,$128170
85,T-MOBILE USA INC,3126.0,$119099
86,TEKORG INC,3122.0,$79832
87,THE MATHWORKS INC,3107.0,$99165
88,GENERAL MOTORS COMPANY,3107.0,$104799
89,COLLABORATE SOLUTIONS INC,3071.0,$79601
90,MICRON TECHNOLOGY INC,3008.0,$107318
91,ERICSSON INC,2988.0,$94993
92,CREDIT SUISSE SECURITIES (USA) LLC,2981.0,$123917
93,GOLDMAN SACHS SERVICES LLC,2958.0,$120719
94,SAP AMERICA INC,2846.0,$116897
95,EXPEDIA INC,2840.0,$111971
96,NVIDIA CORPORATION,2749.0,$143057
97,3I INFOTECH INC,2705.0,$75181
